participant,jot_1,jot_2,jot_3,jot_4,jot_5,jot_6,jot_7,jot_8,jot_9,jot_10,jot_11,jot_12,jot_13,jot_14,jot_15,jot_16,jot_17,jot_18,jot_19
68608200,box,pillow,picture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70688156,Rubiks cube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70880729,parallelogram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71945559,gift box,box,shoe box,frame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72479866,desk,tv,notebook,tile,waffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73056860,kite,carrom board,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73789958,Archie Bunker,checker board,wheat field,four square,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74344382,square,box,cube,picture frame,shipping container,table,sign,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76118298,box,telephone,frame,cube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77147034,tile,pizza box,computer screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79077526,computer monitor,table,state,Colorado,Wyoming,establishment,politicians,desk,chair,tv,picture frame,table,book,magazine,cardboard box,glasses,remote control,crystalline naci,lamp
79159444,box,book,table,frame,pillow,cube,coaster,container,waffle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79835916,box,tv,blanket,basket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80132275,cardboard box,cellphone,brick,amplifier,watch case,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80443527,picture frame,window,tile,box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80874394,crackers,book,box,tv,window,photograph,picture frame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81617408,dice,window,crackers,disc,chess,tv,tile,box,coaster,board game,cushion,pizza box,computer screen,cupboard,NA,NA,NA,NA,NA
81651047,box,photograph,book,paver,soap,dishwasher,magnet,blanket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82088758,watch,clock,book,slate,keychain,cake,chocolate,calendar,switch board,magic slate,mirror,dining table,NA,NA,NA,NA,NA,NA,NA
83106538,book,telephone,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83894653,pin,staple,notebook,register,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84209053,box,window,tv,crackers,block,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84304492,table,Rubiks cube,baseball base,card table,window,picture,game box,cracker,sandwich,pillow,NA,NA,NA,NA,NA,NA,NA,NA,NA
84709790,tv,window,box,screen,cheese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84795565,floppy disk,box,card,window,mirror,dice,board game,tv,book,envelope,stamp,NA,NA,NA,NA,NA,NA,NA,NA
85207782,window,tv,box,brick,charcoal briquet,tablet,score board,Post-It,notepad,chalkboard,NA,NA,NA,NA,NA,NA,NA,NA,NA
85299743,cube,house,wall,mirror,frame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85392192,box fan,box,table,chair,computer tower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86887158,box,book,tv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87310301,box,clock,wall piece,window,pen stand,pillow,tile,tissue paper,dice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89576469,house,table,lunch box,room,yard,book,tile,stone,speaker,bag,stamp,NA,NA,NA,NA,NA,NA,NA,NA
91426523,box,peg,pixel,block,times,trafalgar,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91479095,cube,chair,waffle,sandwich,block,sidewalk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91626468,box,container,screen,picture frame,sign,package,tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91891301,box,clock,block,square,safe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92206545,laptop,tv,pencil box,iPad,telephone,cot,table,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92588869,box,room,tv,table,bag,sweet box,handkerchief,jewelry box,carton,plate,NA,NA,NA,NA,NA,NA,NA,NA,NA
93105314,block,brick,box,window,tv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93884247,chess,board game,box,window,bread,paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94213596,desk,end table,shelf,book,box,photograph,mirror,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94250342,cake,stool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94957122,table,napkin,chair,computer screen,house,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97052016,room,box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99963739,clock,pillow,gift box,clock,chess,box,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
