partID,TypeItem,Response,Std,FlexCat
86743152,U1,play a hand football game with it,table football,location
86743152,U1,use it to create wire figures,wire figurine,bend
86743152,U1,make a necklace,necklace,link
86743152,U1,use as a weapon,weapon,tip
86743152,U1,use as a hole punch,hole punch,tip
86743152,U1,use to scratch yourself,scratch an itch,tip
86743152,U1,use to complete an electrical circuit,circuit,link
61294211,U1,Paper,paper(s),bind
61294211,U1,Pick lock,lock picker,tip
61294211,U1,Hold up hair,hair tie,bind
61294211,U1,Open DVD drive,eject Disk/SIM tray,tip
39292371,U1,keeping papers together,hold paper together,bind
39292371,U1,cleaning fingernails,clean fingernail,tip
39292371,U1,using as a toothpick,toothpick,tip
39292371,U1,using to hang Christmas ornament,ornament hook,bend
52549848,U1,papers,paper(s),bind
52549848,U1,pixk lock,lock picker,tip
62578265,U1,clean teeth,toothpick,tip
62578265,U1,bend it into jewelry,jewelry,bend
62578265,U1,make a chain,chain,link
83632428,U1,hold papers together,hold paper together,bind
83632428,U1,always looking for one,hard to find,location
40824269,U1,holds paper,hold paper together,bind
40824269,U1,pick lock,lock picker,tip
27743780,U1,Organize papers,organize,bind
27743780,U1,Use to eject CD from CD player,eject Disk/SIM tray,tip
58949771,U1,enter,enter,icon
88227507,U1,metal,metal,attribute
33445422,U1,toothpick,toothpick,tip
40281367,U1,paper,paper(s),bind
40281367,U1,clip,clip,icon
34007163,U1,paper,paper(s),bind
29091592,U1,Papers,paper(s),bind
29091592,U1,Reports,report,bind
29091592,U1,Light,light,attribute
29091592,U1,Office,office,location
29091592,U1,School,school,location
92438931,U1,metal,metal,attribute
92438931,U1,color,colors,attribute
92438931,U1,small,small,attribute
92438931,U1,large,large,attribute
92438931,U1,plastic,plastic,attribute
92438931,U1,standard,standard,attribute
92438931,U1,butterfly,butterfly,attribute
15979437,U1,hold papers together,hold paper together,bind
15979437,U1,reset a clock,press reset button,tip
15979437,U1,scrap a pan,scrape dishes,tip
15979437,U1,unlock a door,lock picker,tip
15979437,U1,unscrew a screw,screwdriver,tip
15979437,U1,pick teeth,toothpick,tip
15979437,U1,clean shoes,clean shoe,tip
34726473,U1,metal,metal,attribute
34726473,U1,wire,wire,bend
34726473,U1,paper,paper(s),bind
34726473,U1,office,office,location
34726473,U1,work,work,location
83724738,U1,clip together,paperclip,bind
83724738,U1,holding paper,hold paper together,bind
68061100,U1,whole paper,hold paper together,bind
68061100,U1,use as a button,button,bend
68061100,U1,hair clip,hair tie,bind
10291599,U1,clip paper ,clip,icon
10291599,U1,poke someone ,poker,tip
10291599,U1,use as a small tool ,tool,tip
10291599,U1,use to scratch ,scratch an itch,tip
10291599,U1,use in artwork,arts/crafts,bend
62270097,U1,Use it to clean your tooth,toothpick,tip
30443275,U1,hold paper together,hold paper together,bind
30443275,U1,necklace,necklace,link
30443275,U1,earrings,earring,bend
30443275,U1,bracelet,bracelet,bend
30443275,U1,clean out crevices,clean crevice,tip
30443275,U1,pick a lock,lock picker,tip
30443275,U1,make art,arts/crafts,bend
95335919,U1,getting an obejct out of small crevices,clean crevice,tip
95335919,U1,holding stack of paper together,hold paper together,bind
34390645,U1,Staples,staple,bend
34390645,U1,Metal,metal,attribute
34390645,U1,Paper,paper(s),bind
34390645,U1,Stacks,stack,bind
78038895,U1,hold paper together,hold paper together,bind
78038895,U1,hold chip bags closed,chip clip,bind
78038895,U1,open a locked door,lock picker,tip
74750711,U1,hold stuff,hold,bind
74750711,U1,fix things,fix things,bend
45276419,U1,paperclip,paperclip,bind
56999008,U1,work,work,location
56999008,U1,fastener,fastener,bind
66597740,U1,hold paper,hold paper together,bind
57802610,U1,instrument,instrument,bend
57802610,U1,weapon,weapon,tip
57802610,U1,art tool,tool,tip
57802610,U1,hair clip,hair tie,bind
57802610,U1,fashion accessory,jewelry,bend
28900889,U1,unlock doos,lock picker,tip
28900889,U1,weapon,weapon,tip
30381352,U1,office,office,location
30381352,U1,metal,metal,attribute
30381352,U1,stapler,staple,bend
30381352,U1,staple,staple,bend
30381352,U1,papers,paper(s),bind
30381352,U1,copier,copier,location
30381352,U1,desk,desk,location
20564348,U1,Hold papers,hold paper together,bind
20564348,U1,Reset electronics,press reset button,tip
36875281,U1,an earring,earring,bend
36875281,U1,a toothpick,toothpick,tip
36875281,U1,picking a lock,lock picker,tip
76165636,U1,not a staple,staple,bend
76165636,U1,holder of papers,hold paper together,bind
76165636,U1,possible lockpick,lock picker,tip
76165636,U1,punk rock earring,earring,bend
76165636,U1,individually cheap,cheap,attribute
76165636,U1,link to make a chain,chain,link
18336996,U1,lock pick,lock picker,tip
18336996,U1,fishing hook,fishhook,bend
18336996,U1,picture hanger,picture hanger,bend
18336996,U1,tooth pick,toothpick,tip
18336996,U1,clean under fingernails,clean fingernail,tip
18336996,U1,wire tie,twist tie,bend
49945991,U1,clip papers,paperclip,bind
49945991,U1,clean finger nails,clean fingernail,tip
49945991,U1,antenna,antenna,bend
79242083,U1,office,office,location
79242083,U1,work,work,location
79242083,U1,files,files,bind
79242083,U1,papers,paper(s),bind
79242083,U1,organization,organize,bind
91056650,U1,Pick locks,lock picker,tip
91056650,U1,Clip papers,clip paper,bind
91056650,U1,Clean fingernails,clean fingernail,tip
91056650,U1,Pick food from teeth,toothpick,tip
62405238,U1,Attached ,attach,bind
81848285,U1,earrings,earring,bend
81848285,U1,keyring,keyring,bend
81848285,U1,cheese slicer,cheese slicer,tip
81848285,U1,fastener,fastener,bind
70706059,U1,earring,earring,bend
70706059,U1,toe ring,ring,bend
70706059,U1,finger ring,ring,bend
70706059,U1,picture hanger,picture hanger,bend
70706059,U1,nail cleaner,clean fingernail,tip
17237155,U1,utensil,utensil,tip
17237155,U1,hairclip,hair tie,bind
34123078,U1,to mark your place in a book,bookmark,bind
34123078,U1,to eject a CD from a computer,eject Disk/SIM tray,tip
34123078,U1,as an earring,earring,bend
34123078,U1,to hold a button hole closed if you lost your button,button,bend
34123078,U1,to keep a belt secure,belt,bend
43928690,U1,Work,work,location
43928690,U1,supplies,supplies,attribute
96426580,U1,unwrap to reach into tiny spaces (such as in between keyboard keys),clean keyboard,tip
95328366,U1,bend into a wire,wire,bend
95328366,U1,bend into a hook,hook,bend
95328366,U1,hold paper together,hold paper together,bind
95328366,U1,bend and use to tie things together,twist tie,bend
57272341,U1,Organize papers,organize,bind
57272341,U1,Keep papers secure,hold paper together,bind
27637402,U1,chain together,chain,link
27637402,U1,office supplies,office supply,location
27637402,U1,craft supplies,arts/crafts,bend
27637402,U1,create a sculpture,sculpture,bend
27637402,U1,pick a lock,lock picker,tip
27637402,U1,hair tie,hair tie,bind
27637402,U1,pin clothing,clothespin,bind
88980909,U1,papers,paper(s),bind
61992013,U1,papers,paper(s),bind
61992013,U1,metal,metal,attribute
61992013,U1,holder,holder,bend
92635212,U1,to hold papers together,hold paper together,bind
92635212,U1,in place of a twist tie,twist tie,bend
92635212,U1,to pick a lock with,lock picker,tip
43848691,U1,paper hanger,paper hanger,bend
43848691,U1,nail tool,clean fingernail,tip
58796116,U1,holding papers,hold paper together,bind
58796116,U1,picking a lock,lock picker,tip
58796116,U1,barrette,barrette,bind
30519718,U1,hold papers together,hold paper together,bind
30519718,U1,pick a lock,lock picker,tip
30519718,U1,hold back hair,hair tie,bind
17359263,U1, paper,paper(s),bind
17359263,U1,organize ,organize,bind
17359263,U1,dilligent ,dilligent,icon
17359263,U1,prompt ,prompt,icon
17359263,U1,research,research,icon
19013676,U1,Office Work,office work,location
19013676,U1,Stacks of Paper,stack,bind
19013676,U1,Paper Airplane Nose,paper airplane weight,icon
19013676,U1,Projectile,projectile,tip
77566413,U1,McGuyver's Best Friend,MacGuyver,icon
77566413,U1,Paper Holder,hold paper together,bind
63004563,U1,CLIP ,clip,icon
63004563,U1,Paciner,fastener,bind
44624901,U1,Paper holder,hold paper together,bind
16906699,U1,Holds papers together,hold paper together,bind
13751919,U1,metal clip,metal,attribute
13751919,U1,paper,paper(s),bind
13751919,U1,office,office,location
13751919,U1,supplies,supplies,attribute
13751919,U1,desk,desk,location
13751919,U1,organize,organize,bind
13751919,U1,jon,join,bind
13751919,U1,tool,tool,tip
75863363,U1,Attachment,attach,bind
75863363,U1,Document,documents,bind
48648482,U1,Holds paper together,hold paper together,bind
48648482,U1,pops locks,lock picker,tip
48648482,U1,get to reset button on electronics.,press reset button,tip
83731523,U1,Hold paper together,hold paper together,bind
58613521,U1,Paperclips,paperclip,bind
33169488,U1,operation,operation Paperclip,icon
43018341,U1,keep papers together,hold paper together,bind
15385771,U1,paper holder,hold paper together,bind
15385771,U1,alternate for an ornament hanger,ornament hook,bend
15385771,U1,Christmas tree wreath (homemade),Christmas wreath,bend
67075502,U1,Holds paper together,hold paper together,bind
67075502,U1,are metal,metal,attribute
77492315,U1,door opener,lock picker,tip
77492315,U1,potatoe chip bag closer,chip clip,bind
77492315,U1,crevice cleaner,clean crevice,tip
59379959,U1,orginized,organize,bind
59379959,U1,holds,hold,bind
59379959,U1,multipurpose,multipurpose,attribute
59379959,U1,useful,useful,icon
59379959,U1,plentiful,plentiful,location
59379959,U1,inexpensive,cheap,attribute
59379959,U1,paper work,paperwork,bind
59379959,U1,assignments,assignments,bind
59379959,U1,disposable,disposable,attribute
47140181,U1,computer assistant ,Microsoft,icon
47140181,U1,metal,metal,attribute
47140181,U1,magnet,magnet,attribute
47140181,U1,paper,paper(s),bind
47140181,U1,clips,clip,icon
47140181,U1,small,small,attribute
47140181,U1,silver,silver,attribute
47140181,U1,fingernail cleaner,clean fingernail,tip
47140181,U1,tiny hole poker,poke a hole in something,tip
47140181,U1,boredom assistance,boredom assistance,icon
47140181,U1,traded to et a house,red paperclip,icon
47140181,U1,cheap,cheap,attribute
47140181,U1,several,plentiful,location
47140181,U1,orderly,order,bind
47140181,U1,easy to lose,easy to lose,icon
43056996,U1,hold papers,hold paper together,bind
43056996,U1,clean clog in small hole,clear hole,tip
80901119,U1,papers,paper(s),bind
80901119,U1,metal,metal,attribute
80901119,U1,plastic,plastic,attribute
80901119,U1,attach,attach,bind
80901119,U1,collect,collect,attribute
80901119,U1,hook,hook,bend
64484517,U1,hair pin,hair tie,bind
64484517,U1,tooth pick,toothpick,tip
64484517,U1,tack,tack,tip
64484517,U1,screw driver,screwdriver,tip
20533087,U1,necklace,necklace,link
20533087,U1,paper holder,hold paper together,bind
20533087,U1,money holder,money clip,bind
20533087,U1,lock pick,lock picker,tip
20533087,U1,hair barrette,barrette,bind
39203413,U1,trade it for a house,red paperclip,icon
39203413,U1,dont have one,missing,location
39203413,U1,different sizes and shapes,sizes,attribute
39203413,U1,use it to pick a lock,lock picker,tip
39203413,U1,need it to reset things,press reset button,tip
95390519,U1,get your apple computer to eject a disk,eject Disk/SIM tray,tip
95390519,U1,chain together when you're bored,chain,link
95390519,U1,clip papers together,hold paper together,bind
95390519,U1,bookmark,bookmark,bind
95390519,U1,make a crude mouse trap,mouse trap,bend
95390519,U1,clean a pipe,pipe cleaner,tip
57529182,U1,jewerly,jewelry,bend
57529182,U1,attach things togehter,attach,bind
57529182,U1,hold papers,hold paper together,bind
57529182,U1,dip in paint and use to make designs,paint brush,tip
57529182,U1,temporary hem,temporary hem,bind
57529182,U1,bookmark,bookmark,bind
57529182,U1,corkscrew,corkscrew,bend
70580894,U1,Fingernail cleaner,clean fingernail,tip
70580894,U1,Earrings,earring,bend
70580894,U1,Tile scraper,clean grout,tip
70580894,U1,butter spreader,butter spreader,tip
70580894,U1,weapon,weapon,tip
70580894,U1,making kabobs,kebab,tip
70580894,U1,roasting smores,roast s'mores,tip
13317608,U1,bookmark,bookmark,bind
13317608,U1,hairpin,hair tie,bind
13317608,U1,key chain,keyring,bend
13317608,U1,hook for haning,hook,bend
24316171,U1,clothespin,clothespin,bind
22255793,U1,putting papers together,hold paper together,bind
27041200,U1,metal,metal,attribute
27041200,U1,hold together,hold,bind
27041200,U1,small,small,attribute
27041200,U1,office,office,location
27041200,U1,paper,paper(s),bind
27041200,U1,bind,bind,bind
27041200,U1,organize,organize,bind
27041200,U1,cheap,cheap,attribute
78173104,U1,Stapler,stapler,attribute
78173104,U1,hole punch,hole punch,tip
78173104,U1,tacks,tack,tip
78173104,U1,pens,pencil/pen,tip
78173104,U1,pencils,pencil/pen,tip
78173104,U1,paper,paper(s),bind
72459142,U1,paper binding,bind,bind
72459142,U1,resetting electronics,press reset button,tip
72459142,U1,lock picking,lock picker,tip
72459142,U1,"""rattlesnake eggs"" trick",rattlesnake eggs trick,bend
72459142,U1,ear cleaning,ear cleaner,tip
37757151,U1,organize,organize,bind
37757151,U1,take papers together,hold paper together,bind
18775629,U1,holding paper together,hold paper together,bind
18775629,U1,keeping paper together,hold paper together,bind
18775629,U1,metal,metal,attribute
18775629,U1,hook hanger,hook,bend
72176294,U1,To hold papers,hold paper together,bind
72176294,U1,To pick locks,lock picker,tip
72176294,U1,As a bookmark ,bookmark,bind
38336093,U1,A paperclip is used to attach papers together,hold paper together,bind
38336093,U1,It can be used to hang stuff on a Christmas tree,ornament hook,bend
38336093,U1,It can be used as a toothpick,toothpick,tip
33876433,U1,hairpin,hair tie,bind
33876433,U1,bookmark,bookmark,bind
33876433,U1,earring,earring,bend
33876433,U1,necklace charm,necklace,link
33876433,U1,paper holder,hold paper together,bind
33876433,U1,lock pick,lock picker,tip
83890920,U1,holding papers,hold paper together,bind
83890920,U1,flimsy ,flimsy,attribute
83890920,U1,silver,silver,attribute
83890920,U1,sharp,sharp,tip
83890920,U1,light,light,attribute
83890920,U1,breakable,breakable,attribute
83890920,U1,rounded,round,attribute
78385945,U1,hand tool,tool,tip
78385945,U1,art,arts/crafts,bend
78385945,U1,paper holder,hold paper together,bind
78385945,U1,daisy chain,chain,link
92201888,U1,Wire,wire,bend
92201888,U1,Staple,staple,bend
92201888,U1,Order,order,bind
92098244,U1,projector,projector,icon
92098244,U1,answer,answer,icon
92098244,U1,exam,exam,location
11051268,U1,button holer,button holer,tip
62252951,U1,notes,notes,bind
62252951,U1,organization,organize,bind
62252951,U1,metal,metal,attribute
56962320,U1,paper,paper(s),bind
56962320,U1,together,together,bind
56962320,U1,hold,hold,bind
52205728,U1,metal,metal,attribute
52205728,U1,bend,bend,bend
52205728,U1,papers,paper(s),bind
90908459,U1,Paperclip,paperclip,bind
83618524,U1,earrings,earring,bend
83618524,U1,nose ring,nose ring,bend
83618524,U1,christmas tree ornament hangar,ornament hook,bend
83618524,U1,paper holder,hold paper together,bind
83618524,U1,choo choo train,train,link
83618524,U1,template for a spirograph,spirograph,bend
41939487,U1,paperclip dress,dress,bind
41939487,U1,paperclip statue,stature,bend
41939487,U1,paperclip headband,headband,link
94102823,U1,paper,paper(s),bind
49477708,U1,clips paper,clip paper,bind
89403146,U1,Paper,paper(s),bind
89403146,U1,Work,work,location
89403146,U1,Organize ,organize,bind
89403146,U1,Office,office,location
89403146,U1,Chain,chain,link
41752824,U1,earrings,earring,bend
41752824,U1,hold paper together,hold paper together,bind
41752824,U1,picking locks,lock picker,tip
41752824,U1,chain,chain,link
41752824,U1,straighten it when bored,straighten,bend
41752824,U1,open CD player tray,eject Disk/SIM tray,tip
41752824,U1,hanger,hanger,bend
28281303,U1,for jewelry,jewelry,bend
28281303,U1,hold USB cords,cord holder,bind
28281303,U1,earrings,earring,bend
28281303,U1,toys for teens,toys,bend
28281303,U1,chain mail,chain mail,link
28281303,U1,plant trainer,plant trainer,bend
28281303,U1,cufflinks for squirrels,squirrel cufflinks,bend
28281303,U1,doll antennaes,antenna,bend
32716418,U1,clip papers,clip paper,bind
32716418,U1,poke something,poke a hole in something,tip
32716418,U1,link together,chain,link
26287537,U1,paper,paper(s),bind
19168921,U1,Pick food out of teeth.,toothpick,tip
19168921,U1,Pick a lock.,lock picker,tip
19168921,U1,Clean underneath finger nails.,clean fingernail,tip
19168921,U1,To hold papers together.,hold paper together,bind
19168921,U1,"To have something quick, to pull your hair back.",hair tie,bind
19168921,U1,To take the place of a button on a shirt in case of a immediate need.,button,bend
53069212,U1,paper holder,hold paper together,bind
53069212,U1,fastner,fastener,bind
83867366,U1,paper,paper(s),bind
83867366,U1,clip,clip,icon
83867366,U1,clipping,clipping,bind
89139277,U1,binder,binder,bind
89139277,U1,stpler,stapler,attribute
99033787,U1,earring,earring,bend
99033787,U1,pick a lock,lock picker,tip
99033787,U1,scrape/scratch something,scraper,tip
81003569,U1,to hold documents,hold paper together,bind
81003569,U1,hold wets photos to dry,hold wet photos,bind
34496562,U1,use as toothpick,toothpick,tip
34496562,U1,haven't used one for paper in years,unused,icon
34496562,U1,"bought some years ago, still have some",plentiful,location
29630890,U1,organise paper,organize,bind
91907499,U1,MacGiver,MacGuyver,icon
91907499,U1,Office suppy,office supply,location
57468296,U1,paper,paper(s),bind
57468296,U1,safe,safe,icon
64029823,U1,World's best,world's best,icon
64029823,U1,Martinsville Speedway,Martinsville Speedway,location
64029823,U1,Metal,metal,attribute
64029823,U1,Plastic,plastic,attribute
64029823,U1,Oval,oval,attribute
64029823,U1,Substitute Fastener,fastener,bind
64029823,U1,Hair Pin,hair tie,bind
64029823,U1,Bag Closure,close bags,bind
64029823,U1,Lock Pick,lock picker,tip
65456801,U1,Holds paper together,hold paper together,bind
65456801,U1,pick a lock,lock picker,tip
65456801,U1,stab someone,weapon,tip
65456801,U1,shove in a light socket,put in light socket,tip
95118470,U1,chip clip,chip clip,bind
95118470,U1,lock picker,lock picker,tip
95118470,U1,place holder,bookmark,bind
95118470,U1,small weapon,weapon,tip
95118470,U1,pipe cleaner,pipe cleaner,tip
95118470,U1,arts and crafts,arts/crafts,bend
95118470,U1,barrette,barrette,bind
95118470,U1,tie tack,tie clip,bind
95118470,U1,pierced earring,earring,bend
95118470,U1,papers joiner,join,bind
95118470,U1,fish hook,fishhook,bend
28288231,U1,Slingshot,slingshot,bend
28288231,U1,Crossbow,crossbow,bend
82597918,U1,hair clip,hair tie,bind
82597918,U1,open a dvd player,eject Disk/SIM tray,tip
82597918,U1,hanging a picture,picture hanger,bend
40320712,U1,hold papers together,hold paper together,bind
35820728,U1,office depot,Office Depot,location
35820728,U1,zipper fix,zipper pull,link
35820728,U1,potato chip bag sealer,chip clip,bind
44419556,U1,steel,steel,attribute
72268438,U1,fastener,fastener,bind
72268438,U1,reusable,reusable,attribute
72268438,U1,people against people ever re-enlisting again; civilian life is preferred,people against people ever re-enlisting again; civilian life is preferred,icon
72268438,U1,metal,metal,attribute
72268438,U1,flexible,flexible,attribute
28599868,U1,Unlock a door,lock picker,tip
28599868,U1,Bookmark,bookmark,bind
82807753,U1,fastener,fastener,bind
82807753,U1,metal ,metal,attribute
82807753,U1,holder,holder,bend
82807753,U1,toothpick,toothpick,tip
42625283,U1,useful,useful,icon
42625283,U1,fun,fun,icon
42625283,U1,tool,tool,tip
42625283,U1,necessary,necessary,location
42625283,U1,always extra,plentiful,location
42625283,U1,hard worker,hard worker,icon
42625283,U1,loose,loose,attribute
42625283,U1,small,small,attribute
42625283,U1,light,light,attribute
96627831,U1,hold things together,together,bind
96627831,U1,office supply,office supply,location
96627831,U1,metal,metal,attribute
63457088,U1,organize,organize,bind
63457088,U1,bind together,binder,bind
63457088,U1,school,school,location
63457088,U1,tax,tack,tip
74550568,U1,bobby pin,bobby pin,bind
74550568,U1,key,key,tip
13079517,U1,Paper Organization,organize,bind
13079517,U1,Malleable,flexible,attribute
13079517,U1,Small,small,attribute
13079517,U1,Inexpensive,cheap,attribute
13079517,U1,Many in One Package,plentiful,location
13079517,U1,Tool,tool,tip
13079517,U1,Office Supply,office supply,location
77928859,U1,hair clip,hair tie,bind
77928859,U1,paper holder,hold paper together,bind
77928859,U1,tool,tool,tip
77928859,U1,weapon,weapon,tip
77928859,U1,pin,pin,tip
77928859,U1,jewelry,jewelry,bend
74684850,U1,Clean tiny crevices,clean crevice,tip
74684850,U1,Metal tie,twist tie,bend
69331535,U1,organization,organize,bind
69331535,U1,lock pick,lock picker,tip
69331535,U1,loose paper,paper(s),bind
69331535,U1,lots of work to do,hard worker,icon
69331535,U1,microsoft mascot,Microsoft,icon
75573483,U1,metal,metal,attribute
75573483,U1,small,small,attribute
92487237,U1,To hold paper,hold paper together,bind
53304966,U1,hold paper together,hold paper together,bind
53304966,U1,fix a button,button,bend
53304966,U1,pick something out of a small space (dust in keyboard),clean crevice,tip
22272054,U1,To attached paper,attach,bind
22272054,U1,To fixed multiple paper,hold paper together,bind
93776773,U1,long,long,attribute
13488053,U1,Desk organization,organize,bind
13488053,U1,Ordering office supplies,office supply,location
13488053,U1,Different sizes,sizes,attribute
13488053,U1,Or staple?,staple,bend
13488053,U1,Gold or silver,silver,attribute
13488053,U1,Bending paperclips into other shapes,create shapes,bend
13488053,U1,Paperclip sculpture,sculpture,bend
93415065,U1,poke holes,poke a hole in something,tip
93415065,U1,jewelry,jewelry,bend
93415065,U1,electrical wire,wire,bend
93415065,U1,weapon,weapon,tip
72885845,U1,metal,metal,attribute
72885845,U1,plastic,plastic,attribute
72885845,U1,fastener,fastener,bind
72885845,U1,organize,organize,bind
37635052,U1,Used for paper,paper(s),bind
37635052,U1,Used for organization,organize,bind
37635052,U1,Used to pick a lock,lock picker,tip
37635052,U1,Used to hit tiny reset buttons on electronic devices,press reset button,tip
37635052,U1,Used to take out small things that are stuck in small holes,unstick,tip
58066691,U1,Chain,chain,link
58066691,U1,Clipping papers,clip paper,bind
58066691,U1,Lockpick,lock picker,tip
58066691,U1,Scraper,scraper,tip
72490941,U1,hold papers,hold paper together,bind
72490941,U1,pick lock,lock picker,tip
42231924,U1,clip papers,clip paper,bind
42231924,U1,pick locks,lock picker,tip
42231924,U1,use for hair ties,hair tie,bind
36433313,U1,metal spiral big,spiral,bend
36433313,U1,metal spiral small,small,attribute
36433313,U1,black heavy clip,heavy,attribute
84156806,U1,paper,paper(s),bind
84156806,U1,organization,organize,bind
84156806,U1,business,business,location
84156806,U1,tool,tool,tip
84156806,U1,lock pick,lock picker,tip
84156806,U1,desk drawer,desk,location
84156806,U1,office supplies,office supply,location
77607097,U1,metal,metal,attribute
77607097,U1,holds paper,hold paper together,bind
63618667,U1,Hold Papers,hold paper together,bind
63618667,U1,Arts and Crafts,arts/crafts,bend
42159172,U1,Binder Clip,binder,bind
13357561,U1,A Paper cli,paperclip,bind
13357561,U1,work,work,location
13357561,U1,papers,paper(s),bind
13357561,U1,neat,neat,attribute
13357561,U1,combined,combine,link
15437130,U1,Paperclip,paperclip,bind
11390689,U1,OPEN CD TRAY,eject Disk/SIM tray,tip
11390689,U1,CONDUCTOR,conductor,attribute
11390689,U1,CLIP PAPERS,clip paper,bind
11390689,U1,TOY,toy,icon
17661094,U1,jewlery,jewelry,bend
17661094,U1,slingshot ammo,slingshot,bend
17661094,U1,decoration,decoration,icon
17661094,U1,nailpick,clean fingernail,tip
17661094,U1,keychain,keyring,bend
56654200,U1,paper,paper(s),bind
56654200,U1,metal,metal,attribute
56654200,U1,multiple pages,multiple pages,bind
56654200,U1,fasten,fastener,bind
86851866,U1,hold,hold,bind
86851866,U1,paper,paper(s),bind
86851866,U1,clip,clip,icon
86851866,U1,small,small,attribute
86851866,U1,sharp,sharp,tip
86851866,U1,fasten,fastener,bind
86851866,U1,connect,connect,bind
76731921,U1,make a chain,chain,link
76731921,U1,clean something out,clean,tip
76731921,U1,use on a document,documents,bind
76731921,U1,pick them up off the floot,pickup off floor,location
76731921,U1,symbol for staples,staple,bend
90767434,U1,papers,paper(s),bind
90767434,U1,together,together,bind
90767434,U1,bent,bend,bend
90767434,U1,metal,metal,attribute
90767434,U1,plastic,plastic,attribute
24211189,U1,office product,office supply,location
24211189,U1,metal,metal,attribute
24211189,U1,silver,silver,attribute
24211189,U1,different colors,colors,attribute
24211189,U1,small,small,attribute
24211189,U1,medium,medum,attribute
24211189,U1,large,large,attribute
42960441,U1,Connect,connect,bind
42960441,U1,Group,group,attribute
42960441,U1,pin,pin,tip
32403350,U1,Useful office item,useful,icon
87112068,U1,holder,hold,bind
87112068,U1,organizer,organize,bind
87112068,U1,metal,metal,attribute
87112068,U1,shiny,shiny,attribute
87112068,U1,large,large,attribute
87112068,U1,small,small,attribute
29778056,U1,Paper,paper(s),bind
29778056,U1,organized,organize,bind
26458554,U1,lockpick.,lock picker,tip
26458554,U1,hair pim/,hair pin,bind
26458554,U1,paper.,paper(s),bind
23438826,U1,use to hold two or more sheets of paper together,hold paper together,bind
23438826,U1,can be straightened and used to poke in small places,poke a hole in something,tip
23438826,U1,can be small or large,small,attribute
92682071,U1,useful,useful,icon
